estado;PIB;PIB per Capita
São Paulo;2.119.854.000;47.008,77
Rio de Janeiro;671.362.000;40.155,76
Minas Gerais;576.199.000;27.282,75
Rio Grande do Sul;423.151.000;37.371,27
Paraná;421.375.000;37.221,00
Santa Catarina;277.192.000;39.592,28
Bahia;268.661.000;17.508,67
Distrito Federal;244.683.000;80.502,47
Goiás;191.899.000;28.308,77
Pernambuco;181.551.000;19.164,52
Pará;155.195.000;18.549,33
Ceará;147.890.000;16.394,99
Mato Grosso;126.805.000;37.914,00
Espírito Santo;113.352.000;28.222,56
Mato Grosso do Sul;96.372.000;35.520,45
Amazonas;93.204.000;22.936,28
Maranhão;89.524.000;12.788,75
Rio Grande do Norte;64.295.000;18.333,19
Paraíba;62.387.000;15.497,67
Alagoas;52.843.000;15.653,51
Piauí;45.359.000;14.089,78
Rondônia;43.506.000;24.092,81
Sergipe;40.704.000;17.789,21
Tocantins;34.102.000;21.998,34
Amapá;15.480.000;19.405,11
Acre;14.271.000;17.201,95
Roraima;12.103.000;23.158,06
